model,protocol,run,seed,metric,value
SVM,Experiment_A,1,42,accuracy,0.8880572730231044
SVM,Experiment_A,1,42,balanced_accuracy,0.8788757156157763
SVM,Experiment_A,1,42,macro_precision,0.9052614635421774
SVM,Experiment_A,1,42,macro_recall,0.8788757156157763
SVM,Experiment_A,1,42,macro_f1,0.8685484456049793
SVM,Experiment_A,1,42,weighted_precision,0.909102503950536
SVM,Experiment_A,1,42,weighted_recall,0.8880572730231044
SVM,Experiment_A,1,42,weighted_f1,0.8768019559159914
SVM,Experiment_A,1,42,Normal_precision,0.9564336372847011
SVM,Experiment_A,1,42,Normal_recall,1.0
SVM,Experiment_A,1,42,Normal_f1,0.9777317452097359
SVM,Experiment_A,1,42,Normal_support,944.0
SVM,Experiment_A,1,42,Inner Race_precision,0.9135483870967742
SVM,Experiment_A,1,42,Inner Race_recall,1.0
SVM,Experiment_A,1,42,Inner Race_f1,0.9548213081591369
SVM,Experiment_A,1,42,Inner Race_support,708.0
SVM,Experiment_A,1,42,Outer Race_precision,0.7510638297872341
SVM,Experiment_A,1,42,Outer Race_recall,0.9929676511954993
SVM,Experiment_A,1,42,Outer Race_f1,0.8552392489400363
SVM,Experiment_A,1,42,Outer Race_support,711.0
SVM,Experiment_A,1,42,Ball_precision,1.0
SVM,Experiment_A,1,42,Ball_recall,0.5225352112676056
SVM,Experiment_A,1,42,Ball_f1,0.6864014801110083
SVM,Experiment_A,1,42,Ball_support,710.0
CNN,Experiment_A,1,42,accuracy,0.9980475105759844
CNN,Experiment_A,1,42,balanced_accuracy,0.9978883144153246
CNN,Experiment_A,1,42,macro_precision,0.9978922707375274
CNN,Experiment_A,1,42,macro_recall,0.9978883144153246
CNN,Experiment_A,1,42,macro_f1,0.9978863250781717
CNN,Experiment_A,1,42,weighted_precision,0.9980548232704564
CNN,Experiment_A,1,42,weighted_recall,0.9980475105759844
CNN,Experiment_A,1,42,weighted_f1,0.9980475053971047
CNN,Experiment_A,1,42,Normal_precision,1.0
CNN,Experiment_A,1,42,Normal_recall,1.0
CNN,Experiment_A,1,42,Normal_f1,1.0
CNN,Experiment_A,1,42,Normal_support,944.0
CNN,Experiment_A,1,42,Inner Race_precision,0.9943820224719101
CNN,Experiment_A,1,42,Inner Race_recall,1.0
CNN,Experiment_A,1,42,Inner Race_f1,0.9971830985915493
CNN,Experiment_A,1,42,Inner Race_support,708.0
CNN,Experiment_A,1,42,Outer Race_precision,0.9971870604781997
CNN,Experiment_A,1,42,Outer Race_recall,0.9971870604781997
CNN,Experiment_A,1,42,Outer Race_f1,0.9971870604781997
CNN,Experiment_A,1,42,Outer Race_support,711.0
CNN,Experiment_A,1,42,Ball_precision,1.0
CNN,Experiment_A,1,42,Ball_recall,0.9943661971830986
CNN,Experiment_A,1,42,Ball_f1,0.9971751412429378
CNN,Experiment_A,1,42,Ball_support,710.0
CNN,Experiment_A,2,123,accuracy,1.0
CNN,Experiment_A,2,123,balanced_accuracy,1.0
CNN,Experiment_A,2,123,macro_precision,1.0
CNN,Experiment_A,2,123,macro_recall,1.0
CNN,Experiment_A,2,123,macro_f1,1.0
CNN,Experiment_A,2,123,weighted_precision,1.0
CNN,Experiment_A,2,123,weighted_recall,1.0
CNN,Experiment_A,2,123,weighted_f1,1.0
CNN,Experiment_A,2,123,Normal_precision,1.0
CNN,Experiment_A,2,123,Normal_recall,1.0
CNN,Experiment_A,2,123,Normal_f1,1.0
CNN,Experiment_A,2,123,Normal_support,944.0
CNN,Experiment_A,2,123,Inner Race_precision,1.0
CNN,Experiment_A,2,123,Inner Race_recall,1.0
CNN,Experiment_A,2,123,Inner Race_f1,1.0
CNN,Experiment_A,2,123,Inner Race_support,708.0
CNN,Experiment_A,2,123,Outer Race_precision,1.0
CNN,Experiment_A,2,123,Outer Race_recall,1.0
CNN,Experiment_A,2,123,Outer Race_f1,1.0
CNN,Experiment_A,2,123,Outer Race_support,711.0
CNN,Experiment_A,2,123,Ball_precision,1.0
CNN,Experiment_A,2,123,Ball_recall,1.0
CNN,Experiment_A,2,123,Ball_f1,1.0
CNN,Experiment_A,2,123,Ball_support,710.0
CNN,Experiment_A,3,456,accuracy,1.0
CNN,Experiment_A,3,456,balanced_accuracy,1.0
CNN,Experiment_A,3,456,macro_precision,1.0
CNN,Experiment_A,3,456,macro_recall,1.0
CNN,Experiment_A,3,456,macro_f1,1.0
CNN,Experiment_A,3,456,weighted_precision,1.0
CNN,Experiment_A,3,456,weighted_recall,1.0
CNN,Experiment_A,3,456,weighted_f1,1.0
CNN,Experiment_A,3,456,Normal_precision,1.0
CNN,Experiment_A,3,456,Normal_recall,1.0
CNN,Experiment_A,3,456,Normal_f1,1.0
CNN,Experiment_A,3,456,Normal_support,944.0
CNN,Experiment_A,3,456,Inner Race_precision,1.0
CNN,Experiment_A,3,456,Inner Race_recall,1.0
CNN,Experiment_A,3,456,Inner Race_f1,1.0
CNN,Experiment_A,3,456,Inner Race_support,708.0
CNN,Experiment_A,3,456,Outer Race_precision,1.0
CNN,Experiment_A,3,456,Outer Race_recall,1.0
CNN,Experiment_A,3,456,Outer Race_f1,1.0
CNN,Experiment_A,3,456,Outer Race_support,711.0
CNN,Experiment_A,3,456,Ball_precision,1.0
CNN,Experiment_A,3,456,Ball_recall,1.0
CNN,Experiment_A,3,456,Ball_f1,1.0
CNN,Experiment_A,3,456,Ball_support,710.0
SVM,Experiment_B_CrossLoad,1,42,accuracy,0.9623498864005193
SVM,Experiment_B_CrossLoad,1,42,balanced_accuracy,0.9592607611963919
SVM,Experiment_B_CrossLoad,1,42,macro_precision,0.9632068377677795
SVM,Experiment_B_CrossLoad,1,42,macro_recall,0.9592607611963919
SVM,Experiment_B_CrossLoad,1,42,macro_f1,0.9598151680208593
SVM,Experiment_B_CrossLoad,1,42,weighted_precision,0.9657495386642624
SVM,Experiment_B_CrossLoad,1,42,weighted_recall,0.9623498864005193
SVM,Experiment_B_CrossLoad,1,42,weighted_f1,0.9627402193025894
SVM,Experiment_B_CrossLoad,1,42,Normal_precision,0.9957939011566772
SVM,Experiment_B_CrossLoad,1,42,Normal_recall,1.0
